task_id,dataset_name,target_name,n_samples,n_features,missing_data,categorical_features,fold_id,regressor_name,time_on_fold,R2,MSE,RMSE
361237.0,concrete_compressive_strength,strength,"1,030",8,0,0.0,0.0,PySRRegressor_validation,129.5150637626648,0.7316970146876652,73.20569075683247,8.556032419108314
361237.0,concrete_compressive_strength,strength,"1,030",8,0,0.0,1.0,PySRRegressor_default,128.76085901260376,0.8071508188284051,61.06508940661696,7.814415487201647
361237.0,concrete_compressive_strength,strength,"1,030",8,0,0.0,1.0,PySRRegressor_validation,128.76085901260376,0.8458848650498246,48.80007494702015,6.985705042944495
361237.0,concrete_compressive_strength,strength,"1,030",8,0,0.0,2.0,PySRRegressor_default,132.56407737731934,0.7678516061360878,63.15607632280608,7.947079735525879
361237.0,concrete_compressive_strength,strength,"1,030",8,0,0.0,2.0,PySRRegressor_validation,132.56407737731934,0.7996572501631865,54.50333637385352,7.382637494408994
361237.0,concrete_compressive_strength,strength,"1,030",8,0,0.0,3.0,PySRRegressor_default,135.21803069114685,0.7153057420263649,68.72694736748994,8.290171733292981
361237.0,concrete_compressive_strength,strength,"1,030",8,0,0.0,3.0,PySRRegressor_validation,135.21803069114685,0.7466653864541656,61.15653605188043,7.820264448973604
361237.0,concrete_compressive_strength,strength,"1,030",8,0,0.0,4.0,PySRRegressor_default,131.11830639839172,0.7905350623226374,61.32400459620257,7.830964474201282
361237.0,concrete_compressive_strength,strength,"1,030",8,0,0.0,4.0,PySRRegressor_validation,131.11830639839172,0.8459497348503813,45.10052743353429,6.715692625004087
361237.0,concrete_compressive_strength,strength,"1,030",8,0,0.0,5.0,PySRRegressor_default,144.7871425151825,0.7521101157232246,62.712871611577896,7.919145889019718
361237.0,concrete_compressive_strength,strength,"1,030",8,0,0.0,5.0,PySRRegressor_validation,144.7871425151825,0.7776279533524143,56.25719521432044,7.500479665616089
361237.0,concrete_compressive_strength,strength,"1,030",8,0,0.0,6.0,PySRRegressor_default,132.65948462486267,0.781445910060532,64.20463459763359,8.012779455197403
361237.0,concrete_compressive_strength,strength,"1,030",8,0,0.0,6.0,PySRRegressor_validation,132.65948462486267,0.8219966648120245,52.29203944922471,7.231323492226351
361237.0,concrete_compressive_strength,strength,"1,030",8,0,0.0,7.0,PySRRegressor_default,141.8427219390869,0.7828452549092799,64.40498089729553,8.025271390881153
361237.0,concrete_compressive_strength,strength,"1,030",8,0,0.0,7.0,PySRRegressor_validation,141.8427219390869,0.8501456601617059,44.44464656128119,6.666681825412188
361237.0,concrete_compressive_strength,strength,"1,030",8,0,0.0,8.0,PySRRegressor_default,133.10820126533508,0.813231636089677,48.69281220323676,6.97802351695928
361237.0,concrete_compressive_strength,strength,"1,030",8,0,0.0,8.0,PySRRegressor_validation,133.10820126533508,0.8287819541647339,44.6386528055943,6.681216416611147
361237.0,concrete_compressive_strength,strength,"1,030",8,0,0.0,9.0,PySRRegressor_default,133.49210691452026,0.7320787325816426,71.90315819878842,8.479572996253316
361237.0,concrete_compressive_strength,strength,"1,030",8,0,0.0,9.0,PySRRegressor_validation,133.49210691452026,0.809776763322499,51.05101066333174,7.144998996734131
361243.0,geographical_origin_of_music,latitude,"1,059",116,0,0.0,0.0,PySRRegressor_default,121.22218871116638,0.050596836529497,320.59768051384003,17.905241704982373
361243.0,geographical_origin_of_music,latitude,"1,059",116,0,0.0,0.0,PySRRegressor_validation,121.22218871116638,0.1541180207731253,285.6402958857613,16.90089630421302
361243.0,geographical_origin_of_music,latitude,"1,059",116,0,0.0,1.0,PySRRegressor_default,135.97611236572266,0.0811483734133616,293.0619175890364,17.119051305169815
361243.0,geographical_origin_of_music,latitude,"1,059",116,0,0.0,1.0,PySRRegressor_validation,135.97611236572266,0.0073283097890295,316.60636021320323,17.793435874310596
361243.0,geographical_origin_of_music,latitude,"1,059",116,0,0.0,2.0,PySRRegressor_default,135.64863181114197,0.1434700330100077,234.25785465784145,15.305484463349778
361243.0,geographical_origin_of_music,latitude,"1,059",116,0,0.0,2.0,PySRRegressor_validation,135.64863181114197,0.1434700330100077,234.25785465784145,15.305484463349778
361243.0,geographical_origin_of_music,latitude,"1,059",116,0,0.0,3.0,PySRRegressor_default,131.3864505290985,0.0472607548546035,304.4279967353246,17.44786510537391
361243.0,geographical_origin_of_music,latitude,"1,059",116,0,0.0,3.0,PySRRegressor_validation,131.3864505290985,0.0472607548546035,304.4279967353246,17.44786510537391
361243.0,geographical_origin_of_music,latitude,"1,059",116,0,0.0,4.0,PySRRegressor_default,137.94438648223877,0.1569202295549657,351.6107277928552,18.751286030372828
361243.0,geographical_origin_of_music,latitude,"1,059",116,0,0.0,4.0,PySRRegressor_validation,137.94438648223877,0.1569202295549657,351.6107277928552,18.751286030372828
361243.0,geographical_origin_of_music,latitude,"1,059",116,0,0.0,5.0,PySRRegressor_default,133.38850951194763,0.157126836048421,276.438433360252,16.626437783249063
361243.0,geographical_origin_of_music,latitude,"1,059",116,0,0.0,5.0,PySRRegressor_validation,133.38850951194763,0.157126836048421,276.438433360252,16.626437783249063
361243.0,geographical_origin_of_music,latitude,"1,059",116,0,0.0,6.0,PySRRegressor_default,133.0200526714325,0.067732989777953,235.2196801728708,15.33687322021248
361243.0,geographical_origin_of_music,latitude,"1,059",116,0,0.0,6.0,PySRRegressor_validation,133.0200526714325,0.0182989799467004,247.6923428914628,15.738244593710656
361243.0,geographical_origin_of_music,latitude,"1,059",116,0,0.0,7.0,PySRRegressor_default,131.1739695072174,-0.0059125671385718,358.23557611582373,18.9271121969471
361243.0,geographical_origin_of_music,latitude,"1,059",116,0,0.0,7.0,PySRRegressor_validation,131.1739695072174,0.0694312176775574,331.40339900411806,18.20448843016793
361243.0,geographical_origin_of_music,latitude,"1,059",116,0,0.0,8.0,PySRRegressor_default,137.28498125076294,0.0142411274647924,411.1761756512003,20.27747951919075
361243.0,geographical_origin_of_music,latitude,"1,059",116,0,0.0,8.0,PySRRegressor_validation,137.28498125076294,0.1382975956062722,359.4301903434325,18.95864421163688
361243.0,geographical_origin_of_music,latitude,"1,059",116,0,0.0,9.0,PySRRegressor_default,140.36393904685974,0.1327088685254739,314.8390695759035,17.743705069006968
361243.0,geographical_origin_of_music,latitude,"1,059",116,0,0.0,9.0,PySRRegressor_validation,140.36393904685974,0.1742604174322355,299.75526377818824,17.31344170805413
361244.0,solar_flare,c_class_flares,"1,066",10,0,8.0,0.0,PySRRegressor_default,130.01906776428223,0.0871278115130737,1.1499207531101798,1.0723435797868983
361244.0,solar_flare,c_class_flares,"1,066",10,0,8.0,0.0,PySRRegressor_validation,130.01906776428223,0.1054145371146789,1.1268854525052054,1.0615486105238918
361244.0,solar_flare,c_class_flares,"1,066",10,0,8.0,1.0,PySRRegressor_default,135.00087451934814,0.0940658984064833,0.580956255908778,0.7622048647894987
361244.0,solar_flare,c_class_flares,"1,066",10,0,8.0,1.0,PySRRegressor_validation,135.00087451934814,0.1568578461975943,0.540689116361015,0.7353156576335194
361244.0,solar_flare,c_class_flares,"1,066",10,0,8.0,2.0,PySRRegressor_default,135.68237137794495,0.0616262676413329,0.4093142125425088,0.6397766895898199
361244.0,solar_flare,c_class_flares,"1,066",10,0,8.0,2.0,PySRRegressor_validation,135.68237137794495,0.104433139940909,0.3906420559992227,0.625013644650437
